Route stop,Business,Category,Generated site path,Customization fingerprint,Style rationale,Hero section pattern,21st.dev hero selection,21st.dev hero URL,21st.dev selection rationale,Motion system
1,Plantation Coffee Roastery,cafe,websites/bay-area-final-1000/plantation-coffee-roastery-bay-area,1-plantation-coffee-roastery-cafe-animated-image-hero-ageoqe,Custom direction 1-plantation-coffee-roastery-cafe-animated-image-hero-ageoqe: Plantation Coffee Roastery uses Animated Hero Section for a cafe page in Bay Area; palette #4b1f36 / #fff7fb / #c2687f / #1d1418; primary action Call for menu; content tuned to Coffee-shop warmth with fast answers for nearby customers.,animated-image-hero,Animated Hero Section by ravikatiyar,https://21st.dev/community/components/ravikatiyar/animated-hero-section-1/default,"Best fit for food, cafe, bakery, and bar pages because it pairs a full-screen image with staged title, description, nav, and CTA motion. Applied to Plantation Coffee Roastery because it is a cafe lead and the page needs call for menu conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
2,Elegant Hair & Nail Salon,beauty,websites/bay-area-final-1000/elegant-hair-nail-salon-san-carlos,2-elegant-hair-nail-salon-beauty-studio-split-hero-1ep2euo,Custom direction 2-elegant-hair-nail-salon-beauty-studio-split-hero-1ep2euo: Elegant Hair & Nail Salon uses Hero Page for a beauty page in San Carlos; palette #4b1f36 / #fff7fb / #c2687f / #1d1418; primary action Book by phone; content tuned to A polished appointment page with service-first confidence.,studio-split-hero,Hero Page by ruixenui,https://21st.dev/community/components/ruixenui/hero-page/default,"Best fit for appointment-led beauty, hair, dental, and wellness pages because it uses a strong text side with an animated visual card. Applied to Elegant Hair & Nail Salon because it is a beauty lead and the page needs book by phone conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
3,Hair Pro,hairdresser,websites/bay-area-final-1000/hair-pro-redwood-city,3-hair-pro-hairdresser-studio-split-hero-ky4xu6,Custom direction 3-hair-pro-hairdresser-studio-split-hero-ky4xu6: Hair Pro uses Hero Page for a hairdresser page in Redwood City; palette #181818 / #f4efe6 / #b6854d / #111111; primary action Book by phone; content tuned to Style-forward appointment flow for repeat neighborhood clients.,studio-split-hero,Hero Page by ruixenui,https://21st.dev/community/components/ruixenui/hero-page/default,"Best fit for appointment-led beauty, hair, dental, and wellness pages because it uses a strong text side with an animated visual card. Applied to Hair Pro because it is a hairdresser lead and the page needs book by phone conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
4,Estampas Peruanas,restaurant,websites/bay-area-final-1000/estampas-peruanas-redwood-city,4-estampas-peruanas-restaurant-animated-image-hero-1968dl8,Custom direction 4-estampas-peruanas-restaurant-animated-image-hero-1968dl8: Estampas Peruanas uses Animated Hero Section for a restaurant page in Redwood City; palette #173b2f / #fff8ed / #d1532f / #172016; primary action Call for menu; content tuned to Food-first storytelling with a clear route to call or visit.,animated-image-hero,Animated Hero Section by ravikatiyar,https://21st.dev/community/components/ravikatiyar/animated-hero-section-1/default,"Best fit for food, cafe, bakery, and bar pages because it pairs a full-screen image with staged title, description, nav, and CTA motion. Applied to Estampas Peruanas because it is a restaurant lead and the page needs call for menu conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
5,Fabulous Hair & Nails,hairdresser,websites/bay-area-final-1000/fabulous-hair-nails-redwood-city,5-fabulous-hair-nails-hairdresser-studio-split-hero-ndzix1,Custom direction 5-fabulous-hair-nails-hairdresser-studio-split-hero-ndzix1: Fabulous Hair & Nails uses Hero Page for a hairdresser page in Redwood City; palette #181818 / #f4efe6 / #b6854d / #111111; primary action Book by phone; content tuned to Style-forward appointment flow for repeat neighborhood clients.,studio-split-hero,Hero Page by ruixenui,https://21st.dev/community/components/ruixenui/hero-page/default,"Best fit for appointment-led beauty, hair, dental, and wellness pages because it uses a strong text side with an animated visual card. Applied to Fabulous Hair & Nails because it is a hairdresser lead and the page needs book by phone conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
6,Shiny Nails,beauty,websites/bay-area-final-1000/shiny-nails-redwood-city,6-shiny-nails-beauty-studio-split-hero-gxl63a,Custom direction 6-shiny-nails-beauty-studio-split-hero-gxl63a: Shiny Nails uses Hero Page for a beauty page in Redwood City; palette #4b1f36 / #fff7fb / #c2687f / #1d1418; primary action Book by phone; content tuned to A polished appointment page with service-first confidence.,studio-split-hero,Hero Page by ruixenui,https://21st.dev/community/components/ruixenui/hero-page/default,"Best fit for appointment-led beauty, hair, dental, and wellness pages because it uses a strong text side with an animated visual card. Applied to Shiny Nails because it is a beauty lead and the page needs book by phone conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
7,Naranjo's Taqueria,fast_food,websites/bay-area-final-1000/naranjos-taqueria-redwood-city,7-naranjos-taqueria-fast-food-animated-image-hero-pecxym,Custom direction 7-naranjos-taqueria-fast-food-animated-image-hero-pecxym: Naranjo's Taqueria uses Animated Hero Section for a fast food page in Redwood City; palette #4a1f16 / #fff8ed / #d1532f / #1f130f; primary action Call for menu; content tuned to Quick dining decisions with phone-first local conversion.,animated-image-hero,Animated Hero Section by ravikatiyar,https://21st.dev/community/components/ravikatiyar/animated-hero-section-1/default,"Best fit for food, cafe, bakery, and bar pages because it pairs a full-screen image with staged title, description, nav, and CTA motion. Applied to Naranjo's Taqueria because it is a fast food lead and the page needs call for menu conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
8,Peninsula Uniforms & Equipment,clothes,websites/bay-area-final-1000/peninsula-uniforms-equipment-redwood-city,8-peninsula-uniforms-equipment-clothes-shape-gallery-hero-1y660ek,Custom direction 8-peninsula-uniforms-equipment-clothes-shape-gallery-hero-1y660ek: Peninsula Uniforms & Equipment uses Modern hero section for a clothes page in Redwood City; palette #4b1f36 / #fff7fb / #c2687f / #1d1418; primary action Call now; content tuned to A sharper local web presence for customers in Redwood City.,shape-gallery-hero,Modern hero section by uniquesonu,https://21st.dev/uniquesonu/modern-hero-section,"Best fit for retail, jewelry, florist, and clothing pages because the animated geometric composition creates a refined product-gallery first impression. Applied to Peninsula Uniforms & Equipment because it is a clothes lead and the page needs call now conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
9,Kemuri Japanese Barú,restaurant,websites/bay-area-final-1000/kemuri-japanese-baru-redwood-city,9-kemuri-japanese-baru-restaurant-animated-image-hero-1fd33vk,Custom direction 9-kemuri-japanese-baru-restaurant-animated-image-hero-1fd33vk: Kemuri Japanese Barú uses Animated Hero Section for a restaurant page in Redwood City; palette #173b2f / #fff8ed / #d1532f / #172016; primary action Call for menu; content tuned to Food-first storytelling with a clear route to call or visit.,animated-image-hero,Animated Hero Section by ravikatiyar,https://21st.dev/community/components/ravikatiyar/animated-hero-section-1/default,"Best fit for food, cafe, bakery, and bar pages because it pairs a full-screen image with staged title, description, nav, and CTA motion. Applied to Kemuri Japanese Barú because it is a restaurant lead and the page needs call for menu conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
10,Bluefin Sushi & Teriyaki Grill,restaurant,websites/bay-area-final-1000/bluefin-sushi-teriyaki-grill-redwood-city,10-bluefin-sushi-teriyaki-grill-restaurant-animated-image-hero-1i1kd9k,Custom direction 10-bluefin-sushi-teriyaki-grill-restaurant-animated-image-hero-1i1kd9k: Bluefin Sushi & Teriyaki Grill uses Animated Hero Section for a restaurant page in Redwood City; palette #173b2f / #fff8ed / #d1532f / #172016; primary action Call for menu; content tuned to Food-first storytelling with a clear route to call or visit.,animated-image-hero,Animated Hero Section by ravikatiyar,https://21st.dev/community/components/ravikatiyar/animated-hero-section-1/default,"Best fit for food, cafe, bakery, and bar pages because it pairs a full-screen image with staged title, description, nav, and CTA motion. Applied to Bluefin Sushi & Teriyaki Grill because it is a restaurant lead and the page needs call for menu conversion.","Framer Motion DOM via esm.sh; staggered hero reveal, panel reveal, section in-view motion"
