Route stop,Business,Address,Phone,Category,Owned website found,Search evidence
234,Classic Homestead Barber,"3545 Homestead Road, Santa Clara, CA, 95051",(408) 841-3685,hairdresser,https://findbarbershopnearme.com/california/santa-clara/classic-homestead-barber/,"Classic Homestead Barber, Santa Clara, CA - Reviews (88 ... (bestprosintown.com) | CLASSIC HOMESTEAD BARBERS - Updated May 2026 - 11 ... - YelpClassic Homestead Barber - Barbershop near Santa Clara ...Classic Homestead Barber in Santa Clara, CA 95051 -Classic Homestead Barber in Santa Clara, CA United States ...Classic Homestead Barbers - Official MapQuestClassic Homestead Barber in Santa Clara - Barber shop | Atly (yelp.com) | Classic Homestead Barber - Barbershop near Santa Clara ... (findbarbershopnearme.com)"
235,T&K Barber & Hairstyling,"938 East El Camino Real, Sunnyvale, CA, 94087",(408) 739-8960,hairdresser,https://barbershopsnearby.com/salon/t-k-barber-hairstyling/,"T&K Barber and Hairstyling - Sunnyvale, CA - Yelp (yelp.com) | T & K Barber & Hairstyling - Sunnyvale, CA 94087 - Services ... (salondiscover.com) | T & K Barber & Hairstyling - Sunnyvale, CA 94087 (yellowpages.com) | T&K Barber and Hairstyling - Sunnyvale - A Better PlacesT & K Barber & Hairstyling - Barbershop in Santa Clara ...T & K Barber & Hairstyling - sanjose.comT&K Barber and Hairstyling en Sunnyvale, CA (a-better-place.com) | T & K Barber & Hairstyling - Barbershop in Santa Clara ... (barbershopsnearby.com)"
365,Royal Ground Coffee,"2409 Shattuck Avenue, Berkeley, CA, 94704",(510) 849-9888,cafe,https://www.coffeebars.us/company-royal-ground-coffee-house-in-berkeley-ca-4965,Royal Ground Coffee House | Berkeley | California | Coffeebar (coffeebars.us)
390,Pacific Lighthouse Restaurant,94501,(510) 263-9232,restaurant,https://www.pacificlighthouse88.com/,"Pacific Lighthouse Restaurant - Alameda, CA 94501 (yellowpages.com) | PACIFIC LIGHTHOUSE RESTAURANT - Updated May 2026 - 1681 ...Pacific Lighthouse | (510) 263-9232 | Alameda, CaliforniaPacific Lighthouse Menu – Alameda, CAPacific Lighthouse Restaurant, Alameda, CA: Bay Area Chinese ...Pacific Lighthouse Restaurant - Alameda, CA 94501Pacific Lighthouse (yelp.com) | Pacific Lighthouse | (510) 263-9232 | Alameda, California (allbiz.com) | Pacific Lighthouse Menu – Alameda, CA (roostcafeandbistro.com) | Pacific Lighthouse Restaurant, Alameda, CA: Bay Area Chinese ... (valleywalk.com)"
402,Hogar Latino,3331 International Boulevard,(510) 975-8261,restaurant,https://hogarhispanoinc.org/,"HOGAR LATINO RESTAURANTE - Updated March 2026 - 13 Photos - 3331 International Blvd, Oakland, California - Juice Bars & Smoothies - Restaurant Reviews - Phone Number - Yelp (yelp.com) | Hogar Latino Panaderia Y Restaurant, Oakland - Restaurant menu, prices and reviews (restaurantguru.com) | Hogar Latino Restaurante, 3331 International Blvd, Oakland, CA 94601, US - MapQuest (mapquest.com) | Hogar Latino Restaurante · Juice and Smoothie Bar · Oakland ... (hogar-latino-restaurante.map.kim) | Economic Stability for Low Income & Families of Color - Hogar Hispano (hogarhispanoinc.org)"
407,Fruitvale Collision Center,"3009 Foothill Boulevard, Oakland, 94601",(510) 532-2050,car_repair,https://awcollision.com/,SAN CARLOS COLLISION & REPAIR - Updated April 2026 - 86 ... (yelp.com) | F1 - The Official Home of Formula 1® Racing (formula1.com) | awcollision (awcollision.com)
502,Amici,450 San Antonio Road,(650) 961-6666,restaurant,https://www.sliceamicismountainview.com/,"Amici's East Coast Pizzeria - Mountain View, CA - 450 San ... (sliceamicismountainview.com)"
504,Palo Alto Advanced Dentists,4191,(650) 324-4900,dentist,https://www.palocal.co/dental.html,Palocal.co - Best Dental (palocal.co)
508,Wilmer Hale,"950 Page Mill Road, Palo Alto, 94304",(650) 858-6000,lawyer,https://www.wilmerhale.com/en/contact-us/palo-alto,Palo Alto - WilmerHale (wilmerhale.com)
511,Palo Alto Sol,"408 South California Avenue, Palo Alto, 94306",(650) 328-8840,restaurant,https://www.shoppaloalto.com/paloaltosolrestaurant/,"PALO ALTO SOL - Updated May 2026 - 214 Photos & 677 ... - YelpPalo Alto Sol Restaurant in Palo Alto, California, United ...HOME | Sol GroupPalo Alto Sol Restaurant - NearbitesPalo Alto Sol in Palo Alto, CA 94306 - 650-328...Palo Alto Sol Palo Alto - mymenuweb.comPalo Alto Sol Menu - Palo Alto, CA - roostcafeandbistro.com (yelp.com) | Palo Alto Sol Restaurant in Palo Alto, California, United ... (shoppaloalto.com)"
